Date,Price,Chg,Av_Sev,Av_OneFrty,SevOverFortyFlag,Av_Six,Av_TwenOne,SixOverTwenOneFlag,DM_P,DM_N,ATR,ADX
Oct 31-2013,15751.1,0.68,15004.781966808081,13728.260648148147,True,13889.783069959794,15052.963236408086,False,13.0,-79.95000000000073,365.4399999999999,2648.205409464648
Nov 01-2013,16020.4,1.71,15080.214976227575,13746.81880733945,True,13966.72592710265,15140.912033098259,False,344.0,-50.75,377.7266666666665,2613.213047154255
Nov 05-2013,16646.25,3.91,15183.315919489858,13767.487727272726,True,14145.540212816935,15277.760939180234,False,600.7000000000007,-211.29999999999927,401.2466666666666,2531.0299608742894
Nov 06-2013,16466.6,-1.08,15311.249363428678,13793.422522522522,True,14094.211641388369,15385.837217436578,False,95.29999999999927,-570.0,402.45333333333326,2482.628781481017
Nov 07-2013,16182.85,-1.72,15408.288281734138,13817.290178571426,True,14013.140212816941,15458.29292494234,False,-241.0,271.0,405.14999999999986,2453.009047629616
Nov 08-2013,16404.0,1.37,15484.93256085946,13838.224336283183,True,14076.325927102649,15544.266295402129,False,-59.0,16.950000000000728,416.0533333333333,2440.2668781423645
Nov 11-2013,16591.45,1.14,15573.764427926013,13860.731140350876,True,14129.883069959795,15639.464814001934,False,230.0,-77.65000000000146,432.2266666666665,2439.3872948942653
Nov 12-2013,16417.3,-1.05,15661.375664311741,13884.476521739129,True,14080.125927102652,15710.17710363812,False,-70.0,-128.29999999999927,440.51666666666654,2444.8616672327585
Nov 13-2013,16507.2,0.55,15732.628452831415,13906.311206896553,True,14105.811641388364,15782.63373058011,False,-1.0,40.0,418.79666666666657,2241.6250691789046
Nov 14-2013,16523.4,0.1,15803.500386056729,13928.541025641023,True,14110.44021281694,15849.976118709192,False,-8.5,-200.0,406.8933333333333,2249.7306805172893
Nov 18-2013,16977.9,2.75,15881.748622407527,13950.5313559322,True,14240.297355674082,15952.514653371993,False,329.5,-25.150000000001448,411.61666666666656,702.1523703945334
Nov 19-2013,16982.65,0.03,15981.532550460104,13975.971428571424,True,14241.654498531223,16046.163321247266,False,190.0,-374.89999999999776,411.35666666666657,723.7162020720275
Nov 20-2013,16861.9,-0.71,16069.141819240303,14001.027083333332,True,14207.154498531223,16120.321201133876,False,-30.349999999998545,108.20000000000073,413.88000000000005,766.466910126742
Nov 21-2013,16836.3,-0.15,16140.489618003347,14024.670661157024,True,14199.840212816936,16185.410182848982,False,-101.65000000000146,-18.75,408.18666666666684,761.6316786745936
Nov 22-2013,16851.2,0.09,16204.164825585627,14047.716803278689,True,14204.09735567408,16245.936529862707,False,7.0,87.59999999999854,413.8533333333335,790.6275611682192
Nov 25-2013,17155.35,1.8,16271.553810711646,14070.509349593494,True,14290.997355674082,16328.610481693371,False,114.0,-237.0,415.7833333333336,866.2384529020114
Nov 26-2013,17668.4,2.99,16366.351031504826,14095.387096774191,True,14437.583069959795,16450.409528812157,False,560.0,-70.0,430.83000000000027,861.0888236897285
Nov 27-2013,17696.8,0.16,16485.519119549845,14123.9712,True,14445.69735567408,16563.717753465597,False,171.0,-564.25,393.7000000000002,807.707132913245
Nov 28-2013,17552.15,-0.82,16591.560915339807,14152.326984126985,True,14404.368784245513,16653.57523042327,False,95.0,114.25,402.1666666666669,636.4527398539612
Nov 29-2013,17348.9,-1.16,16673.161843650785,14179.097244094488,True,14346.297355674082,16716.786573112062,False,-525.0,410.0,400.9666666666669,603.0022013453837
Dec 02-2013,17364.5,0.09,16735.032021756793,14203.861328125,True,14350.754498531223,16775.669611920057,False,-13.0,-141.0,392.3033333333335,578.3014646528685
Dec 03-2013,17265.05,-0.57,16789.454974964563,14228.362403100777,True,14322.340212816936,16820.15873810914,False,-49.0,93.0,376.4166666666669,582.4651350750054
Dec 04-2013,17406.8,0.82,16836.6838440779,14251.721538461541,True,14362.840212816936,16873.4897619174,False,110.84999999999854,-32.0,379.00666666666683,621.1346259239183
Dec 05-2013,17494.95,0.51,16890.995684116908,14275.806106870232,True,14388.025927102652,16929.986147197636,False,76.15000000000146,-201.0,370.67333333333346,638.6956534090817
Dec 06-2013,17830.2,1.92,16955.344283896295,14300.193560606065,True,14483.811641388364,17011.823770179668,False,260.0,-71.0,388.84000000000015,595.8211999468941
Dec 09-2013,17735.1,-0.53,17032.19774848447,14326.734962406015,True,14456.640212816936,17077.576154708793,False,109.95000000000073,-258.04999999999933,376.84333333333365,546.5404271508922
Dec 10-2013,18513.5,4.39,17118.024713731076,14352.17052238806,True,14679.040212816935,17208.1146860989,False,590.0499999999993,124.84999999999854,424.8333333333336,502.20580427445265
Dec 11-2013,19115.95,3.25,17261.856525927098,14382.995185185186,True,14851.16878424551,17381.554260089906,False,625.0,-546.7000000000007,472.8533333333333,492.21820629036745
Dec 12-2013,19567.35,2.36,17443.125971073292,14417.796323529412,True,14980.140212816936,17580.262963718094,False,560.0,-910.0999999999983,505.55999999999983,596.5746602566725
Dec 13-2013,19124.2,-2.26,17623.75414783871,14455.384306569344,True,14853.525927102652,17720.620876107358,False,104.0,-8.0,538.3599999999999,624.7040814562853
Dec 16-2013,19786.85,3.46,17778.824513400108,14489.216304347827,True,15042.854498531224,17908.459887370325,False,-34.0,-80.0,571.7599999999999,730.635987066346
Dec 17-2013,19744.6,-0.21,17960.182144064118,14527.328776978418,True,15030.783069959794,18075.3817157912,False,359.0,-520.0,561.7599999999999,798.1399475817431
Dec 18-2013,19898.05,0.78,18126.724484360464,14603.509219858157,True,15074.625927102652,18241.078832537456,False,-124.0,-140.09999999999854,560.37,842.4046027866947
Dec 19-2013,19795.35,-0.52,18284.86111894485,14677.152351491372,True,15045.283069959794,18382.376211397688,False,31.75,50.09999999999855,550.4866666666666,1824.8572513630138
Dec 20-2013,19831.25,0.18,18423.1895575555,14750.260119555325,True,15055.540212816935,18514.09201036153,False,118.25,34.75,558.4699999999999,1847.7008867240374
Dec 23-2013,19627.1,-1.03,18545.444348097826,14819.435153320495,True,14997.211641388369,18615.27455487412,False,-345.0,164.25,564.67,1865.7871460396213
Dec 24-2013,19603.9,-0.12,18643.12315896217,14887.299902918789,True,14990.583069959795,18705.149595340106,False,-30.20000000000073,-30.29999999999927,563.9033333333333,2049.542645859038
Dec 26-2013,19072.95,-2.71,18715.51017011926,14946.670826281643,True,14838.883069959795,18738.585995763733,False,-70.04999999999927,541.25,589.2933333333334,2034.9894407489837
Dec 27-2013,19408.6,1.76,18757.459629685884,15009.960601795376,True,14934.783069959794,18799.49635978521,False,-330.40000000000146,-119.95000000000073,592.9833333333333,2018.8276623620322
Dec 30-2013,19260.6,-0.76,18812.48519472084,15070.253359216718,True,14892.497355674082,18841.41487253201,False,180.60000000000218,-60.0,592.1133333333333,2118.545678441567
Dec 31-2013,19364.4,0.54,18856.146847953645,15131.16324064627,True,14922.154498531223,18888.958975029098,False,-190.0,9.900000000001457,589.1100000000001,2113.1321899973486
Jan 01-2014,19276.95,-0.45,18899.888299676168,15189.96872659455,True,14897.16878424551,18924.23088639009,False,59.95000000000073,-45.90000000000146,539.3833333333336,1935.3049503262507
Jan 02-2014,19019.85,-1.33,18926.92438254812,15244.29328366413,True,14823.711641388369,18932.923533081903,False,-55.90000000000146,259.70000000000067,498.0233333333337,1899.4944708493274
Jan 03-2014,19162.65,0.75,18939.394701164103,15299.87281155542,True,14864.511641388366,18953.807757347186,False,-195.0,51.20000000000073,470.41666666666714,1782.8084832718232
Jan 06-2014,19287.95,0.65,18963.2202148867,15356.4412823135,True,14900.311641388364,18984.184324861075,False,190.95000000000076,-141.0,439.74000000000063,1695.7038310247692
Jan 07-2014,19120.35,-0.87,18988.019977681888,15409.830058450896,True,14852.425927102651,18996.56302260097,False,10.049999999999274,-9.950000000000726,416.6700000000007,1654.11012469165
Jan 08-2014,19075.95,-0.23,18998.799275485453,15461.831759749462,True,14839.740212816938,19003.78002054634,False,-150.0,56.04999999999927,398.0700000000007,665.6323297739107
Jan 09-2014,19153.1,0.4,19007.98621715067,15514.190174504787,True,14861.783069959794,19017.35456413304,False,-50.04999999999927,-23.29999999999927,392.18666666666735,627.7181303040541
Jan 10-2014,19101.5,-0.27,19019.72485810112,15565.074001816774,True,14847.040212816935,19025.00414921185,False,49.95000000000073,21.299999999999272,385.59666666666743,724.1991462912362
Jan 13-2014,19124.75,0.12,19027.81389148757,15615.565859947032,True,14853.683069959796,19034.07195382896,False,-9.950000000000726,76.5,373.24333333333414,794.1375220229767
Jan 14-2014,19264.25,0.73,19040.55584245349,15667.320244912324,True,14893.540212816935,19054.9972307536,False,130.04999999999927,-177.54999999999927,369.7733333333342,789.8063485819737
Jan 15-2014,19271.85,0.04,19061.105759464765,15718.448326544772,True,14895.711641388369,19074.711118866904,False,99.0,-106.95000000000073,369.8066666666675,854.5540705613042
