Date,Price,Open,High,Low,Volume,Chg
May 15-2014,21584.75,21902.15,22029.95,21510.00,6650.0,-1.45
May 14-2014,21902.30,21409.00,22046.95,21259.00,9200.0,2.32
May 13-2014,21404.80,21675.00,21784.95,21200.00,6130.0,-0.91
May 12-2014,21602.25,21450.00,21747.00,21410.05,6910.0,0.86
May 09-2014,21417.20,21290.10,21498.00,21052.00,10440.0,0.61
May 08-2014,21287.95,20632.00,21392.00,20632.00,8070.0,2.54
May 07-2014,20761.25,20605.00,20925.00,20604.50,7790.0,-0.25
May 06-2014,20812.65,20642.00,20905.00,20642.00,5220.0,0.83
May 05-2014,20641.05,20677.00,20930.00,20607.00,3460.0,-0.35
May 02-2014,20714.00,20575.00,20790.05,20502.50,6700.0,0.90
Apr 30-2014,20528.55,20678.00,20890.00,20375.00,7580.0,-0.93
Apr 29-2014,20721.55,20735.00,20999.00,20525.00,10510.0,0.32
Apr 28-2014,20656.35,20399.00,20924.95,19816.10,40880.0,1.12
Apr 25-2014,20428.50,21500.00,22000.00,20251.00,48380.0,-5.85
Apr 23-2014,21697.40,22088.00,22483.95,21511.00,46680.0,-2.39
Apr 22-2014,22228.60,23600.00,25925.05,21380.00,71890.0,-5.68
Apr 21-2014,23568.25,23773.90,23899.00,23350.00,9150.0,-0.77
Apr 17-2014,23750.05,23450.25,23835.00,23450.25,12910.0,1.26
Apr 16-2014,23454.95,23400.00,23690.00,23350.00,9290.0,-0.04
Apr 15-2014,23464.20,22850.00,23500.00,22800.05,16260.0,2.74
Apr 11-2014,22837.35,22200.00,22998.90,22140.00,11520.0,3.12
Apr 10-2014,22146.75,22599.00,22749.00,21969.95,12290.0,-1.08
Apr 09-2014,22388.25,22305.00,22525.00,22180.00,4260.0,0.44
Apr 07-2014,22290.70,22326.75,22488.00,22251.00,6470.0,-0.40
Apr 04-2014,22379.90,22222.00,22477.80,22010.00,10540.0,0.73
Apr 03-2014,22216.95,22399.00,22399.20,21931.00,10450.0,-0.27
Apr 02-2014,22276.35,21910.00,22344.00,21651.25,16000.0,2.80
Apr 01-2014,21669.35,21810.70,21974.90,21610.00,5420.0,-0.55
Mar 31-2014,21788.75,21685.00,21988.80,21459.15,7960.0,1.54
Mar 28-2014,21459.15,21350.00,21674.00,21151.00,9980.0,1.61
Mar 27-2014,21118.35,21701.00,22156.00,20773.35,21140.0,-3.41
Mar 26-2014,21863.70,22239.90,22320.00,21770.00,13010.0,-1.54
Mar 25-2014,22205.70,22294.00,22450.00,22000.00,22250.0,0.17
Mar 24-2014,22167.05,22518.90,22588.95,22065.00,11340.0,-1.46
Mar 22-2014,22496.25,22400.00,22568.00,22320.05,3430.0,0.88
Mar 21-2014,22300.90,21351.00,22450.00,21351.00,30470.0,3.95
Mar 20-2014,21453.80,21585.00,21604.90,21270.60,4630.0,-0.60
Mar 19-2014,21583.15,21670.00,21790.00,21450.05,9290.0,-0.04
Mar 18-2014,21591.85,21095.00,21650.30,20760.50,17090.0,3.10
Mar 14-2014,20943.45,20700.00,21100.00,20530.00,6700.0,1.32
Mar 13-2014,20671.05,20850.00,20980.00,20595.00,7730.0,-0.83
Mar 12-2014,20844.40,20605.00,20950.00,20605.00,15840.0,0.28
Mar 11-2014,20785.90,20679.95,20975.00,20560.05,14300.0,0.59
Mar 10-2014,20663.00,20400.00,20780.00,20150.05,9040.0,1.23
Mar 07-2014,20412.35,20460.00,20625.00,20240.00,12450.0,0.22
Mar 06-2014,20367.60,19499.00,20550.05,19448.00,19970.0,4.56
Mar 05-2014,19478.55,19699.90,19749.95,19421.00,6460.0,-0.79
Mar 04-2014,19633.35,19190.00,19699.90,19075.00,12180.0,2.80
Mar 03-2014,19098.75,19010.00,19200.00,19000.20,4440.0,0.06
Feb 28-2014,19086.75,19045.70,19198.00,19020.00,3460.0,0.32
Feb 26-2014,19026.55,19091.25,19220.00,19000.00,7390.0,-0.31
Feb 25-2014,19085.75,19002.00,19175.00,18991.70,4040.0,0.44
Feb 24-2014,19002.55,18914.00,19172.35,18910.00,3720.0,0.45
Feb 21-2014,18918.00,18840.00,19120.50,18840.00,7260.0,0.44
Feb 20-2014,18834.30,18913.00,19194.00,18802.00,6360.0,-1.46
Feb 19-2014,19113.25,18732.00,19200.00,18732.00,4300.0,1.40
Feb 18-2014,18850.15,18710.00,18999.95,18701.80,3790.0,-0.21
Feb 17-2014,18890.70,18850.00,19089.50,18771.15,3420.0,-0.04
Feb 14-2014,18897.60,18900.00,19098.95,18703.00,4220.0,0.04
Feb 13-2014,18890.30,19050.00,19224.00,18830.55,5700.0,-1.52
Feb 12-2014,19182.45,19250.00,19250.00,18900.20,4160.0,0.11
Feb 11-2014,19161.95,19085.00,19210.00,18911.05,8960.0,1.75
Feb 10-2014,18832.65,18944.00,19159.95,18740.00,10720.0,0.13
Feb 07-2014,18807.80,19050.00,19250.00,18686.40,18590.0,-2.94
