Date,Price,Chg,Av_Sev,Av_OneFrty,SevOverFortyFlag,Av_Six,Av_TwenOne,SixOverTwenOneFlag,DM_P,DM_N,TR
Oct 05-2018,61022.2,-0.94,66956.40336446042,72277.61743330158,False,26824.383069959793,66573.2993264386,False,-1299.949999999997,899.0,899.0
Oct 08-2018,61120.9,0.16,66419.7106130178,72119.36612219093,False,26852.583069959794,66077.62666039873,False,351.0,900.0,2150.0
Oct 09-2018,61997.3,1.43,65962.68788123257,71975.7907162024,False,27102.983069959795,65706.68787308976,False,949.0,-1059.0,2040.0
Oct 10-2018,63979.6,3.2,65658.03751046752,71862.36957129173,False,27669.354498531222,65549.67988462705,False,1600.0,-861.0,2779.0
Oct 11-2018,63427.5,-0.86,65489.90016956714,71742.72603127341,False,27511.611641388365,65356.75444057005,False,-30.349999999998545,-188.0500000000029,2560.5999999999985
Oct 12-2018,63978.35,0.87,65317.92614646948,71632.59303792202,False,27668.99735567408,65231.44494597277,False,690.2999999999956,-1910.949999999997,1339.949999999997
Oct 15-2018,62600.6,-2.15,65157.33663763551,71504.4796614976,False,27275.354498531222,64992.27722361161,False,-380.09999999999854,1620.0,2579.8499999999985
Oct 16-2018,63212.95,0.98,64942.155329988746,71386.86931168911,False,27450.311641388365,64830.52020328328,False,-599.8499999999985,-862.1500000000015,1117.8499999999985
Oct 17-2018,62101.85,-1.76,64753.656253895024,71255.16691010486,False,27132.854498531222,64582.45927571207,False,283.75,962.1500000000015,2363.75
Oct 19-2018,61967.85,-0.22,64508.808310199056,71123.43191847217,False,27094.568784245508,64344.767523374605,False,-1573.75,1000.0,1790.0
Oct 22-2018,62206.95,0.39,64284.54731144856,70996.95699764277,False,27162.883069959793,64150.420475795094,False,59.94999999999709,-1099.0,750.9499999999971
Oct 23-2018,61723.65,-0.78,64082.060744082555,70865.42072817267,False,27024.79735567408,63929.80497799553,False,-572.9499999999971,698.0,876.0
Oct 24-2018,62350.0,1.01,63885.3034293196,70744.6346185532,False,27203.754498531223,63786.1863436323,False,523.0,-504.15000000000146,894.8499999999985
Oct 25-2018,61362.5,-1.58,63717.91348888209,70611.55469488578,False,26921.611641388365,63565.8512214839,False,-220.0,1005.1500000000015,1680.0
Oct 26-2018,63056.15,2.76,63551.49344059703,70504.38583396541,False,27405.511641388366,63519.51474680354,False,941.5,134.0,2755.5
Oct 29-2018,63932.25,1.39,63531.14109196401,70411.16404908647,False,27655.82592710265,63557.03613345777,False,928.5,-1859.0,1825.0
Oct 30-2018,64309.15,0.59,63578.22243955755,70324.61065831929,False,27763.511641388366,63625.41012132524,False,550.0,-877.1999999999971,1497.800000000003
Oct 31-2018,64498.55,0.29,63650.00561086538,70241.97150004526,False,27817.625927102654,63704.786473932036,False,0.0,-281.8000000000029,1216.0
Nov 01-2018,64742.05,0.38,63734.0051648072,70163.95842912262,False,27887.19735567408,63799.083158120025,False,450.0,-814.0500000000029,851.9499999999971
Nov 02-2018,66480.8,2.69,63874.62447760961,70111.71504714925,False,28383.983069959795,64042.87559829093,False,1326.550000000003,-514.3499999999985,1664.1500000000015
Nov 05-2018,66153.8,-0.49,64102.338257494004,70055.57440818258,False,28290.554498531223,64234.77781662811,False,123.44999999999709,-897.5999999999985,890.0
Nov 06-2018,65160.7,-1.5,64260.86013165268,69986.14356551332,False,28006.811641388365,64318.95256057101,False,-192.60000000000582,1010.0,1707.3999999999942
Nov 07-2018,65564.95,0.62,64354.05107999155,69923.43160004505,False,28122.311641388365,64432.22505506455,False,-674.25,-277.0,756.1499999999942
Nov 09-2018,66345.1,1.19,64486.108856330335,69872.67512344866,False,28345.211641388367,64606.1227773314,False,568.8500000000058,663.8499999999985,1988.8499999999985
Nov 12-2018,65203.15,-1.72,64622.94044557559,69806.44072453449,False,28018.94021281694,64660.39797939218,False,483.0500000000029,-547.3499999999985,1924.550000000003
Nov 13-2018,65822.15,0.95,64693.12338842339,69749.92596248435,False,28195.79735567408,64766.011799447435,False,-795.0500000000029,258.4499999999971,1387.949999999997
Nov 14-2018,65545.95,-0.42,64787.98188960385,69690.29509776826,False,28116.883069959793,64836.915272224935,False,550.0,-437.9499999999971,1500.0
Nov 15-2018,65784.85,0.36,64863.61765892283,69634.89871340276,False,28185.14021281694,64923.09115656812,False,-407.0,40.0,1133.0
Nov 16-2018,65754.95,-0.05,64946.52380004508,69579.86397987932,False,28176.59735567408,64998.7146877892,False,467.0,-388.4499999999971,1211.550000000003
Nov 19-2018,66190.3,0.66,65032.28047123176,69531.7850581789,False,28300.983069959795,65107.04062526291,False,-400.0,87.44999999999709,899.0
Nov 20-2018,66024.45,-0.25,65132.883142861145,69482.03562472954,False,28253.59735567408,65190.44147751173,False,-70.0,-212.1999999999971,616.8000000000029
Nov 21-2018,67324.2,1.97,65250.547351384645,69451.42802721565,False,28624.95449853122,65384.419525010664,False,1238.0,-396.8000000000029,1458.0
Nov 22-2018,67607.4,0.42,65447.038693320224,69425.27160129769,False,28705.868784245507,65586.5086591006,False,601.9499999999971,-1092.0,967.9499999999971
Nov 26-2018,68198.75,0.87,65660.09292222453,69407.87413177572,False,28874.82592710265,65823.9851446369,False,540.0500000000029,-405.4499999999971,1102.550000000003
Nov 27-2018,68575.25,0.55,65901.48556309783,69396.06386040301,False,28982.39735567408,66074.10013148809,False,-30.0,207.39999999999418,1279.949999999997
Nov 28-2018,68792.25,0.32,66150.667733418,69387.49912479446,False,29044.39735567408,66321.20466498917,False,660.0,-960.6999999999971,979.25
Nov 29-2018,68289.9,-0.73,66376.6608716092,69371.93034288248,False,28900.868784245507,66500.17696817197,False,-190.0,349.75,1139.0
Nov 30-2018,67332.05,-1.4,66523.61001132206,69342.99586993379,False,28627.19735567408,66575.80178924724,False,-471.4499999999971,860.1000000000058,1527.6500000000087
Dec 03-2018,66692.85,-0.95,66579.0989219445,69305.40514837444,False,28444.56878424551,66586.4425356793,False,-729.5500000000029,542.8999999999942,1341.0
Dec 04-2018,66128.75,-0.85,66573.54978819539,69260.34621009963,False,28283.39735567408,66544.83412334483,False,-811.3000000000029,676.0500000000029,1205.75
Dec 05-2018,65284.0,-1.28,66509.3176691661,69203.9441361975,False,28042.040212816937,66430.21283940438,False,-941.0500000000029,795.9499999999971,1060.6499999999942
Dec 06-2018,64764.8,-0.8,66383.29980167469,69140.97755270534,False,27893.69735567408,66278.81167218581,False,-884.5999999999913,690.9499999999971,867.0
Dec 07-2018,65574.85,1.25,66258.98176592706,69090.39418316341,False,28125.14021281694,66214.81515653255,False,387.9499999999971,-419.0,835.9499999999971
Dec 10-2018,64364.6,-1.85,66162.69641972882,69023.36164155825,False,27779.354498531222,66046.61377866595,False,-804.5500000000029,764.0,795.3999999999942
Dec 11-2018,66171.7,2.81,66050.1373341965,68982.91254025955,False,28295.668784245507,66057.98525333268,False,1604.550000000003,434.0500000000029,2834.0
Dec 12-2018,68146.55,2.98,66116.81806309796,68971.04924181614,False,28859.911641388368,66247.85477575698,False,1990.0,-2556.0,2268.0
Dec 13-2018,67463.55,-1.0,66282.09971165114,68949.66627384712,False,28664.76878424551,66358.37252341543,False,409.0,-880.6999999999971,1796.300000000003
Dec 14-2018,66335.05,-1.67,66357.71555092486,68912.57951818971,False,28342.340212816936,66356.25229401402,False,-1399.0,1052.699999999997,1450.0
Dec 17-2018,66375.15,0.06,66356.7846237601,68876.58761013027,False,28353.79735567408,66357.97026728546,False,-300.0,-172.0,978.0
Dec 18-2018,67561.5,1.79,66391.87251327743,68857.93388516387,False,28692.754498531223,66467.3820611686,False,798.9499999999971,121.94999999999709,1898.8999999999942
Dec 19-2018,69326.95,2.61,66547.93327071314,68864.58659601262,False,29197.168784245507,66727.34278288054,False,1501.050000000003,-1649.3499999999913,1750.6000000000058
Dec 20-2018,69049.7,-0.4,66792.76129603884,68867.212318055,False,29117.95449853122,66938.46616625504,False,400.0,-1000.6000000000058,1150.0
Dec 21-2018,67003.85,-2.96,66940.3079643887,68840.7816468769,False,28533.425927102653,66944.41015114094,False,-339.0,2050.0,2861.0
Dec 24-2018,66117.65,-1.32,66921.12113279894,68802.15566607015,False,28280.22592710265,66869.25013740086,False,-2214.0,803.0,1450.0
Dec 26-2018,67319.65,1.82,66881.93745747408,68781.12721690604,False,28623.65449853122,66910.19557945532,False,156.0,791.75,2397.75
Dec 27-2018,66686.35,-0.94,66903.8900701749,68751.4140648932,False,28442.711641388367,66889.84598132301,False,196.0,-1420.75,1173.0
Dec 28-2018,67036.95,0.53,66893.98975649702,68727.09542567485,False,28542.883069959793,66903.21907393001,False,-224.0,-454.0,495.0
Dec 31-2018,66984.7,-0.08,66905.5143112841,68702.38059694186,False,28527.95449853122,66910.62643084547,False,75.0,167.60000000000582,737.6000000000058
